Browser codeNameMozilla
Browser Name: Netscape
Browser Version: 5.0 (iPhone; CPU iPhone OS 6_1_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B145 Safari/8536.25
Cookies Enabled: true
Platform: iPhone
User-agent Header: Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B145 Safari/8536.25

Date/Time: 2013-04-13 17:25:40

x  y	Ts		Events
25	154			
30	152			
40	149			
53	138			
61	129			
65	122			
66	118			
66	115			
61	115			
55	124			
53	141			
53	167			
56	189			
58	206			
59	219			
59	228			
57	234			
52	236			
43	237			
33	237			
26	231			
24	226			
24	221			
28	216			
41	212			
55	208			
67	201			
76	192			
82	179			
84	162			
84	150			
84	139			
81	134			
79	132			
77	132			
77	138			
77	152			
79	166			
82	180			
85	194			
87	206			
87	215			
88	225			
89	231			
89	235			
89	238			
89	235			
89	223			
89	206			
89	188			
90	174			
91	161			
95	148			
100	140			
105	137			
110	137			
116				
118				
118				
116				
108				
99				
92				
87				
84				
83				
90				
97				
105				
112				
118				
122				
125				
127				
129				
129				
129				
129				
129				
130				
130				
130				
130				
132				
134				
136				
138				
139				
140				
141				
141				
142				
143				
144				
145				
147				
149				
150				
153				
155				
157				
158				
160				
162				
164				
167				
171				
176				
182				
185				
187				
187				
187				
187				
185				
181				
179				
179				
179				
179				
179				
180				
183				
185				
186				
186				
186				
186				
186				
189				
192				
195				
199				
203				
207				
207				
207				
204				
200				
197				
195				
194				
194				
196				
200				
204				
208				
212				
214				
216				
217				
217				
218				
218				
218				
218				
220				
224				
231				
239				
246				
257				
263				
264				
264				
261				
255				
250				
244				
239				
237				
237				
240				
243				
247				
252				
256				
259				
260				
260				
260				
260				
258				
257				
256				
255				
255				
255				
256				
257				
259				
261				
264				
268				
272				
#				
216				
#				
